details,prix,adresse,image_lien
Cochin caillouté,Prix sur demande,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5795056_uploaded_image1_1772163078.jpg
Poussin hermine,7 500CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5786408_uploaded_image1_1771698246.jpg
Lapereaux,Prix sur demande,"Thies, Sénégal",https://images.coinafrique.com/thumb_5782021_uploaded_image1_1771503339.jpg
Poulets de chair,3 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5780864_uploaded_image1_1771450383.jpg
Brahman herminé,35 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5778994_uploaded_image1_1771363080.jpg
Couple lapin 6 mois,35 000CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5773429_uploaded_image1_1770999151.jpg
Œufs fécondés,2 500CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5740994_uploaded_image1_1769368723.jpg
Poule Brahma,10 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5717554_uploaded_image1_1768255739.jpg
Poussin dinde chair,3 500CFA,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5714121_uploaded_image1_1768054212.jpg
Lapins,25 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5693264_uploaded_image1_1766935865.jpg
Pigeons,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5674944_uploaded_image1_1765881198.jpg
Pigeon King,60 000CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5669544_uploaded_image1_1765545674.jpg
Poulettes pré ponte de 124 jours,5 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5655142_uploaded_image2_1764832679.jpeg
Poussin goliath,300CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_5648409_uploaded_image1_1764510412.jpg
Poulet Goliath,Prix sur demande,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5648319_uploaded_image1_1764504900.jpg
Pigeon Voyageur,20 000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5642510_uploaded_image1_1764173213.jpg
Poule Brahman ,Prix sur demande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5594420_uploaded_image1_1761683034.jpg
Femmel cailloute,30 000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5587969_uploaded_image1_1761236540.jpg
Poule Brahman ,Prix sur demande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5577027_uploaded_image1_1760621886.jpg
Lapin,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5572908_uploaded_image1_1760428902.jpg
Pigeons mondain,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5572903_uploaded_image1_1760428699.jpg
Couple  Mondain,130 000CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5541428_uploaded_image1_1758715216.jpg
Pigeon ,15 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5521622_uploaded_image1_1757666321.jpg
Lapin,40 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5514578_uploaded_image2_1757331557.jpeg
Pigeon Mondain ,120 000CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5507608_uploaded_image1_1756942600.jpg
Pigeon Mondain,120 000CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5507606_uploaded_image1_1756942550.jpg
Pigeons,100 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5458528_uploaded_image1_1754315737.jpg
Cochin caillouté ,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5497195_uploaded_image1_1756395052.jpg
Couples texans pionniers,40 000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5497183_uploaded_image1_1756394350.jpg
Couple Mondain,100 000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5497172_uploaded_image1_1756394052.jpg
Couple Manteau noir,15 000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5497155_uploaded_image1_1756393487.jpg
Pigeon culbtant volga,30 000CFA,"Fatick, Sénégal",https://images.coinafrique.com/thumb_5497140_uploaded_image1_1756393034.jpg
Pigeon Lahore Levante,Prix sur demande,"Thies, Sénégal",https://images.coinafrique.com/thumb_5486667_uploaded_image1_1755797873.jpg
Pigeon Beauté Allemande,Prix sur demande,"Thies, Sénégal",https://images.coinafrique.com/thumb_5486666_uploaded_image1_1755797791.jpg
Lapin,35 000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5465434_uploaded_image1_1754648894.jpg
Lapin Métis Californien,25 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5437884_uploaded_image1_1753306013.jpg
Brahman herminé,Prix sur demande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5435588_uploaded_image1_1753200754.jpg
Poussins frisés,15 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5430818_uploaded_image1_1752929676.jpg
Poussins brahma blanc herminé,25 000CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5414572_uploaded_image1_1752060211.jpg
Poussins brahmas importés,10 000CFA,"Diamalaye 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5404325_uploaded_image1_1751544553.jpg
Poussins frisés ,15 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5402124_uploaded_image1_1751450050.jpg
Poussins frisés ,15 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5402120_uploaded_image1_1751449791.jpg
Coqs colorés,8 000CFA,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_5394586_uploaded_image1_1751020727.jpg
Poulet pondeuses,Prix sur demande,"Mbour, Sénégal",https://images.coinafrique.com/thumb_5393356_uploaded_image1_1750945446.jpg
Lapins,Prix sur demande,"Thies, Sénégal",https://images.coinafrique.com/thumb_5384185_uploaded_image1_1750435313.jpg
Couple voyageur,15 000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5381347_uploaded_image1_1750286641.jpg
Lapin Métis californien,15 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5364052_uploaded_image1_1749295289.jpg
Poussins Brahma,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5352324_uploaded_image1_1748613214.jpg
Lapins Métis Californien,10 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5350705_uploaded_image1_1748514803.jpg
couple mondain adulte 2024,200 000CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5337087_uploaded_image1_1747753115.jpg
Couple Braman Hermine ,90 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5329879_uploaded_image1_1747329681.jpg
Couple Braman Hermine ,90 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5329869_uploaded_image1_1747329370.jpg
Dindon,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5323572_uploaded_image1_1747046013.jpg
Pigeon voyageur,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5323552_uploaded_image1_1747045029.jpg
Pigeon King Indigo,Prix sur demande,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5321991_uploaded_image1_1746917494.jpg
Pigeon,30 000CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_5290537_uploaded_image1_1745182886.jpg
Poule,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5280953_uploaded_image1_1744629489.jpg
Lapin geant,Prix sur demande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5276799_uploaded_image1_1744362952.jpg
 Barman,12 500CFA,"Mbour, Sénégal",https://images.coinafrique.com/thumb_5276065_uploaded_image1_1744311662.jpg
Pigeon,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5274182_uploaded_image1_1744216748.jpg
Pigeons,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5274177_uploaded_image1_1744216637.jpg
Pigeons voyageurs,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5274172_uploaded_image1_1744216429.jpg
Brahma columbia,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5272290_uploaded_image1_1744128456.jpg
Pigeons de race,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5258333_uploaded_image1_1743424345.jpg
Poulet local ,3 500CFA,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_5252650_uploaded_image1_1743037834.jpg
Pigeon,100 000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5246700_uploaded_image1_1742737554.jpg
Pigeon Mondain ,150 000CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5232372_uploaded_image1_1741970489.jpg
Lapin Métis Californien,25 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5225208_uploaded_image1_1741633076.jpg
Coque Hermine,50 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5202384_uploaded_image1_1740482590.jpg
Lapins métis californiens,10 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5198096_uploaded_image1_1740225080.jpg
Lapin Californien,120 000CFA,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5189123_uploaded_image1_1739781768.jpg
Pigeon voyageur,5 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5180652_uploaded_image1_1739276152.jpg
Poussin herminé ,10 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5179009_uploaded_image1_1739192841.jpg
Pigeon Mondain ,150 000CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5121788_uploaded_image1_1736179154.jpg
Lapin ,12 000CFA,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5119498_uploaded_image1_1736025924.jpg
Lapin,12 000CFA,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5119494_uploaded_image1_1736025705.jpg
Poussin Herminé ,36 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5107651_uploaded_image1_1735215733.jpg
Poussins,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5104370_uploaded_image1_1734964382.jpg
Couple lahore lavande,30 000CFA,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_5088564_uploaded_image1_1734010113.jpg
Pigeon Mondain,200 000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5085521_uploaded_image1_1733851166.jpg
Poussin brahman,25 000CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5080703_uploaded_image1_1733571477.jpg
Mondain noir,150 000CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5078519_uploaded_image1_1733444790.jpg
couple boulon saxe,45 000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5069958_uploaded_image1_1733056070.jpg
Poule Brahma,45 000CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5044135_uploaded_image1_1731603018.jpg
Couple mantau écailles de 2 mois,15 000CFA,"Mbour, Sénégal",https://images.coinafrique.com/thumb_5043101_uploaded_image1_1731565347.jpg
lapins mâle adulte,15 000CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5000540_uploaded_image1_1729260478.jpg
Rex garenne ,Prix sur demande,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_4998472_uploaded_image1_1729159431.jpg
Pigeon pan indien,10 000CFA,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_4996843_uploaded_image1_1729085675.jpg
Poule Brahma,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4993341_uploaded_image1_1728920307.jpg
Couple lapins,15 000CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_4981240_uploaded_image1_1728309289.jpg
Lapins,15 000CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4975768_uploaded_image1_1727986043.jpg
Coq ,3 000CFA,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_4975038_uploaded_image1_1727964716.jpg
Lapin ,15 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4966470_uploaded_image1_1727557573.jpg
Pigeon voyageur,Prix sur demande,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4946879_uploaded_image1_1726499763.jpg
Pigeon voyageur,15 000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4946878_uploaded_image1_1726499637.jpg
Poulets Fermiers,10 000CFA,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_4942161_uploaded_image1_1726204258.jpg
Pigeon voyageur,25 000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4936241_uploaded_image1_1725920934.jpg
Poule Brahma,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4936101_uploaded_image1_1725915391.jpg
couples lapins,15 000CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_4932369_uploaded_image1_1725702422.jpg
Pigeons Voyageurs  et boulants,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4920745_uploaded_image1_1725167512.jpg
pigeon voyageur,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4917441_uploaded_image1_1724967120.jpg
Pigeon Boulant Gaditano,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4884507_uploaded_image1_1723139531.jpg
Lapin nain,30 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4865409_uploaded_image1_1722221284.jpg
Cochin Caillouté Et Porteur Caillouté ,Prix sur demande,"Pikine, Sénégal",https://images.coinafrique.com/thumb_4862961_uploaded_image1_1722048205.jpg
Pigeon mondain noir,170 000CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4862270_uploaded_image1_1722006320.jpg
Pan indien blanc,35 000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4860862_uploaded_image1_1721930737.jpg
Pigeons  Texan,20 000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4860848_uploaded_image1_1721930260.jpg
Couple pigeon mondain blanc,70 000CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4853197_uploaded_image1_1721514569.jpg
Paires engoura ,Prix sur demande,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4841263_uploaded_image1_1720874099.jpg
Jeune Mondain 2024,150 000CFA,"Thiaroye, Sénégal",https://images.coinafrique.com/thumb_4840128_uploaded_image1_1720797760.jpg
Lapereaux métisse Géant et Californien,15 000CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4829597_uploaded_image1_1720290196.jpg
Poussin Herminé standard ,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4824502_uploaded_image1_1720037338.jpg
Mâle brahman Hierminés,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4824501_uploaded_image1_1720037293.jpg
Cochin porteur caillouté paire,120 000CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4818681_uploaded_image1_1719796046.jpg
Hermines et cochins,500CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4817873_uploaded_image1_1719747122.jpg
Poulet du pays ,3 500CFA,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_4807968_uploaded_image1_1719229010.jpg
Poule Brahma,95 000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4807398_uploaded_image1_1719187421.jpg
Jeune couple Mondain,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4800310_uploaded_image1_1718745887.jpg
Texan pionnier,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4800306_uploaded_image1_1718745517.jpg
Poulet race ,Prix sur demande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4787594_uploaded_image1_1717954434.jpg
Poulets,2 500CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4767951_uploaded_image1_1716976720.jpg
Couple lapereau fauve de bourgogne ,40 000CFA,"Lac rose, Sénégal",https://images.coinafrique.com/thumb_4751808_uploaded_image1_1716133783.jpg
Poulets de chair,1 500CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4696598_uploaded_image1_1713352074.jpg
Poulet,Prix sur demande,"Thies, Sénégal",https://images.coinafrique.com/thumb_4738369_uploaded_image1_1715444473.jpg
Pigeons voyageurs,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4729764_uploaded_image1_1715037972.jpg
Poulet Nègre de soie ,35 000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4723223_uploaded_image1_1714727157.jpg
Lapin Angora ,20 000CFA,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4714367_uploaded_image1_1714245668.jpg
Pigeons King mâle,35 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4704120_uploaded_image1_1713750109.jpg
Lapereaux,13 500CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4703012_uploaded_image1_1713680804.jpg
Pigeon Mâle voyageur,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4690859_uploaded_image1_1713063647.jpg
Couple Pigeons voyageur,15 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4690857_uploaded_image1_1713063525.jpg
Pigeon Mondain écailler,170 000CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4685152_uploaded_image1_1712756876.jpg
Poulets de chair,Prix sur demande,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4667518_uploaded_image1_1711842967.jpg
Femelle andalou,250 000CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667144_uploaded_image1_1711815313.jpg
Pigeon voyageur à manteau,Prix sur demande,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4664901_uploaded_image1_1711663618.jpg
Pigeon Mondain Andalou ,300CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4664895_uploaded_image1_1711663431.jpg
